,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL
108,Nadal,Bombons,-,-,-,NESTLÉ Assortit de bombons Caja Roja,"19,89 €",0.8kg,"(24,86 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/35307/details
109,Nadal,Bombons,-,-,-,PICO Confits,"1,25 €",0.1kg,"(12,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/29756/details
110,Nadal,Bombons,-,-,-,ANTIU XIXONA Ametlles farcides,"2,89 €",0.15kg,"(19,27 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/00241/details
111,Nadal,Bombons,-,-,-,LACASA Taronja recoberta de xocolata negra,"2,99 €",0.125kg,"(23,92 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/45654/details
112,Nadal,Bombons,-,-,-,LACASITOS Pastilles xocolata de colors Lacasitos,"3,35 €",0.225kg,"(14,89 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/80076/details
113,Nadal,Bombons,-,-,-,LACASA Boletes de cacauet i xocolata Conguitos,"3,10 €",0.2kg,"(15,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/69602/details
114,Nadal,Bombons,-,-,-,VICENS Trufes,"3,89 €",0.12kg,"(32,42 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/68871/details
115,Nadal,Bombons,-,-,-,PICO Pinyons,"2,25 €",0.1kg,"(22,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/27829/details
116,Nadal,Bombons,-,-,-,LACASA Festuc cobert de xocolata amb llet,"2,99 €",0.1kg,"(29,90 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/00198/details
117,Nadal,Mantegades i panettones,-,-,-,GIULIETTA Panettone,"2,95 €",0.5kg,"(5,90 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/31585/details
