,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari
293,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà d'escudella,"1,80 €",1L,"(1,80 € per litre)"
294,Ofertes,Unitats regal,-,-,-,BONPREU Espetec extra,"1,89 €",0.08kg,"(23,63 € per quilo)"
295,Ofertes,Unitats regal,-,-,-,BONPREU Pernil cuit extra a talls,"1,99 €",0.125kg,"(15,92 € per quilo)"
296,Ofertes,Unitats regal,-,-,-,BONPREU Llonganissa estil tradicional extra,"1,79 €",0.1kg,"(17,90 € per quilo)"
297,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà de peix,"1,80 €",1L,"(1,80 € per litre)"
298,Ofertes,Unitats regal,-,-,-,BONPREU Pernil curat 50% Duroc,"2,85 €",0.1kg,"(28,50 € per quilo)"
299,Ofertes,Unitats regal,-,-,-,BONPREU Tomàquet triturat amb ceba,"0,69 €",0.39kg,"(1,77 € per quilo)"
300,Ofertes,Unitats regal,-,-,-,BONPREU Llonganissa i xoriço,"1,95 €",0.2kg,"(9,75 € per quilo)"
301,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà de pollastre baix en sal,"1,80 €",1L,"(1,80 € per litre)"
302,Ofertes,Unitats regal,-,-,-,BONPREU Ventresca curada,"1,79 €",0.1kg,"(17,90 € per quilo)"
303,Ofertes,Unitats regal,-,-,-,BONPREU Bacó cuit fumat a talls,"1,38 €",0.15kg,"(9,20 € per quilo)"
304,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà suau de pollastre,"1,80 €",1L,"(1,80 € per litre)"
305,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà de carn d'olla,"1,80 €",1L,"(1,80 € per litre)"
306,Ofertes,Unitats regal,-,-,-,BONPREU Salsa fresca pesto,"1,40 €",0.15kg,"(9,33 € per quilo)"
307,Ofertes,Unitats regal,-,-,-,BONPREU Sobrassada de Mallorca,"1,15 €",0.065kg,"(17,69 € per quilo)"
308,Ofertes,Unitats regal,-,-,-,BONPREU Salsa fresca de bolets,"1,40 €",0.2kg,"(7,00 € per quilo)"
309,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà de carn,"1,80 €",1L,"(1,80 € per litre)"
310,Ofertes,Unitats regal,-,-,-,BONPREU Salsa fresca 4 formatges,"1,29 €",0.18kg,"(7,17 € per quilo)"
311,Ofertes,Unitats regal,-,-,-,BONPREU Espatlla curada,"1,99 €",0.1kg,"(19,90 € per quilo)"
312,Ofertes,Unitats regal,-,-,-,BONPREU Salsa fresca carbonara,"1,20 €",0.2kg,"(6,00 € per quilo)"
313,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà de verdures,"1,80 €",1L,"(1,80 € per litre)"
